Bairros,Distrito_Administrativo,Latitude,Longitude
Águas Lindas,Entroncamento  - DAENT,-1.391782871195715,-48.38915621300782
Aurá,Entroncamento  - DAENT,-1.4264431025891071,-48.38640500966133
Castanheira,Entroncamento  - DAENT,-1.4085231269187428,-48.43136529047305
Curió-Utinga,Entroncamento  - DAENT,-1.4304484744567325,-48.44671291561767
Guanabara,Entroncamento  - DAENT,-1.3993960077775134,-48.41461730547341
Mangueirão,Entroncamento  - DAENT,-1.3785096902888354,-48.44523024895819
Marambaia,Entroncamento  - DAENT,-1.4040455762267603,-48.45378442013121
Souza,Entroncamento  - DAENT,-1.4168448510056022,-48.45133545552554
Val-de-Cans,Entroncamento  - DAENT,-1.3899201403939638,-48.47377328795317
Universitário,Entroncamento  - DAENT,-1.4641766243350125,-48.44131681748722
Barreiro,Sacramenta - DASAC,"-1.4138414745232866,",-48.484360753803344
Fátima,Sacramenta - DASAC,"-1.442005183989072,",-48.47243414972154
Maracangalha,Sacramenta - DASAC,-1.3991125395057884,-48.48132245725805
Miramar,Sacramenta - DASAC,-1.4067216782417977,-48.491250294345846
Pedreira,Sacramenta - DASAC,-1.424553419158649,-48.47126539140072
Sacramenta,Sacramenta - DASAC,-1.4134199582802194,-48.47628399983942
Telegráfo,Sacramenta - DASAC,-1.4263738832324369,-48.48663203794686
Batista Campos,Belém - DABEL,-1.461154190602939,-48.489916070909615
Campina,Belém - DABEL,-1.4524541297054065,-48.49932675796269
Cidade Velha,Belém - DABEL,-1.461925444909489,-48.50609478268611
Nazaré,Belém - DABEL,-1.4542657286489769,-48.481241635130495
Reduto,Belém - DABEL,-1.446146894732042,-48.49247791488606
São Brás,Belém - DABEL,-1.4516460667493658,-48.47081977453019
Umarizal,Belém - DABEL,-1.4414179120121386,-48.48372067475526
Marco,Belém - DABEL,-1.4353613116140458,-48.461163810273725
Canudos,Guamá - DAGUA,-1.4537652685391431,-48.46123165149005
Condor,Guamá - DAGUA,-1.472430266445473,-48.48140347758944
Cremação,Guamá - DAGUA,-1.4613241069560536,-48.47630397754234
Guamá,Guamá - DAGUA,-1.4639327714825685,-48.46326382326709
Jurunas,Guamá - DAGUA,-1.4709312474042824,-48.493768340255016
Montese (Terra Firme),Guamá - DAGUA,-1.4571484685537113,-48.451291969029484
Benguí,Benguí - DABEN,-1.375249238301045,-48.45530497194068
Cabanagem,Benguí - DABEN,-1.368014045387432,-48.432526291913945
Coqueiro,Benguí - DABEN,-1.3666365007073038,-48.41377084991598
Parque Verde,Benguí - DABEN,-1.3673684112921218,-48.4437381698801
Pratinha,Benguí - DABEN,-1.3600952567573232,-48.473835632360085
São Clemente,Benguí - DABEN,-1.3661978000624662,-48.46010825439374
Tapanã,Benguí - DABEN,-1.3389992497208354,-48.4740725813765
Una,Benguí - DABEN,-1.3715850277768897,-48.425078085007414
